id,decision,status,objective,candidateObjective,mapping,originalDomain,domain,question,reason,reference,reviewedAt
"1","corregir","verified","1.5","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","A very large table needs explicit column-based clustering to improve pruning for recurring filters. Which feature lets the owner specify those columns?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/tables-clustering-keys","2026-09-21"
"2","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which of the following are valid Snowflake Virtual Warehouse Scaling Policies? (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"3","apartar","quarantine","","1.3","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","True or False: A single database can exist in more than one Snowflake account.","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/databases.html",""
"4","corregir","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Which system role is dedicated to creating and managing users and roles?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/security-access-control-overview","2026-09-21"
"5","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","True or False: Bulk unloading of data from Snowflake supports the use of a SELECT statement.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-location","2026-09-21"
"6","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Select the different types of Internal Stages: (Choose three.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage","2026-09-21"
"7","corregir","verified","1.2","","editorial","Gestion de cuenta y Gobernanza","Arquitectura y Data Cloud","Does using Snowflake through a SQL client inherently prevent the same user from also using Snowsight?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/ui-snowsight-worksheets","2026-09-21"
"8","corregir","verified","2.3","","editorial","Colaboracion y Proteccion de datos","Gestion de cuenta y Gobernanza","Which view reports table storage metrics, including storage retained for dropped tables?","Replaced obsolete UI navigation and nonexistent view distractors with a documented monitoring question.","https://docs.snowflake.com/en/sql-reference/account-usage/table_storage_metrics","2026-09-21"
"9","corregir","verified","2.3","","editorial","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","For equal running time and the same warehouse type and generation, which changes directly affect warehouse compute credits? (Choose two.)","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
"10","conservar_revisada","verified","1.5","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which statement best describes `clustering`?","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions","2026-09-21"
